gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624263,8,bottom,High Point Rockers,Gastonia Ghost Peppers,Ben Aklinski,2,SB,1,0,1
624324,1,top,Charleston Dirty Birds,Long Island Ducks,James Nelson,2,SB,1,2,3
624324,2,top,Charleston Dirty Birds,Long Island Ducks,Alsander Womack,2,SB,0,2,2
624324,2,bottom,Long Island Ducks,Charleston Dirty Birds,JC Encarnacion,2,SB,0,2,1
624324,2,bottom,Long Island Ducks,Charleston Dirty Birds,JC Encarnacion,3,SB,0,1,2
624324,8,bottom,Long Island Ducks,Charleston Dirty Birds,Cody Thomas,2,SB,2,2,2
624325,3,top,Charleston Dirty Birds,Long Island Ducks,Joseph Rosa,3,CS,3,0,2
624325,5,bottom,Long Island Ducks,Charleston Dirty Birds,Chris Roller,2,SB,1,0,2
624325,6,bottom,Long Island Ducks,Charleston Dirty Birds,Ivan Castillo,2,SB,1,0,3
624325,8,top,Charleston Dirty Birds,Long Island Ducks,Alsander Womack,2,SB,1,1,3
624325,9,bottom,Long Island Ducks,Charleston Dirty Birds,Taylor Kohlwey,2,SB,2,1,2
624327,1,top,Staten Island Ferry Hawks,Long Island Ducks,Mark Contreras,2,CS,1,0,2
624327,1,bottom,Long Island Ducks,Staten Island Ferry Hawks,Chris Roller,2,SB,1,0,2
624327,3,top,Staten Island Ferry Hawks,Long Island Ducks,Vaun Brown,2,SB,1,1,1
624327,5,top,Staten Island Ferry Hawks,Long Island Ducks,Eddy Diaz,3,SB,1,1,2
624328,1,bottom,Long Island Ducks,Staten Island Ferry Hawks,Ivan Castillo,2,SB,1,1,3
624328,5,bottom,Long Island Ducks,Staten Island Ferry Hawks,Cody Thomas,2,SB,1,0,0
624328,5,bottom,Long Island Ducks,Staten Island Ferry Hawks,Ed Johnson,2,SB,1,0,1
624328,5,bottom,Long Island Ducks,Staten Island Ferry Hawks,Kole Kaler,2,CS,2,1,2
624328,6,top,Staten Island Ferry Hawks,Long Island Ducks,Eddy Diaz,2,SB,1,0,2
624387,2,bottom,Staten Island Ferry Hawks,York Revolution,Kolby Johnson,2,SB,2,2,1
624387,3,top,York Revolution,Staten Island Ferry Hawks,Jeffrey Wehler,2,SB,1,0,3
624387,5,bottom,Staten Island Ferry Hawks,York Revolution,Cristhian Rodriguez,2,SB,1,2,1
624387,6,bottom,Staten Island Ferry Hawks,York Revolution,Brandon Martorano,2,SB,1,1,2
624388,5,top,York Revolution,Staten Island Ferry Hawks,Bubba Alleyne,2,SB,3,1,1
624388,8,bottom,Staten Island Ferry Hawks,York Revolution,Kolby Johnson,2,SB,3,0,1
624390,1,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Mark Contreras,2,SB,1,2,3
624390,2,top,Lancaster Stormers,Staten Island Ferry Hawks,Andrew Semo,2,SB,1,1,2
624390,2,top,Lancaster Stormers,Staten Island Ferry Hawks,Evan Alexander,3,CS,1,1,2
624390,2,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Eddy Diaz,3,SB,0,1,3
624390,4,top,Lancaster Stormers,Staten Island Ferry Hawks,Nick Ward,2,SB,1,1,2
624390,9,top,Lancaster Stormers,Staten Island Ferry Hawks,Nick Lucky,2,CS,2,1,1
