Season,season_id,Team,team_id,player_id,Player,stats_url,2B,3B,AB,AVG,BB,CS,DP,E,G,H,HBP,HR,P,R,RBI,SB,SF,SH,SO
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750998,"Kueber, G",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,1,0,33,.242,5,1,1,4,12,8,1,0,SS,1,2,1,0,3,11
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750711,"Sundberg, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,22,3,451,.239,92,8,4,2,121,108,5,11,CF,82,51,36,0,2,127
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1697270,"Hibbert, M",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,4,0,71,.225,15,0,0,2,33,16,12,1,OF,19,5,3,0,0,21
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750844,"Rosario, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,7,1,145,.221,8,2,3,6,42,32,3,2,2B,9,14,3,1,0,41
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750395,"Harris, D",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,6,0,154,.214,14,0,4,0,46,33,7,3,IF,12,17,2,2,0,51
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750995,"Semones, F",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,1,0,60,.200,6,3,0,0,75,12,5,0,2B,27,2,11,0,2,31
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1745419,"Quiroz, I",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,7,1,274,.193,35,0,4,8,89,53,12,17,C,37,52,1,4,1,117
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750300,"Hobson, K",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,14,0,405,.185,71,2,6,8,119,75,5,17,1B,56,48,5,2,0,125
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750997,"Aberouette, F",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,1,0,30,.167,1,0,1,0,9,5,0,0,C,4,3,1,0,0,15
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1751003,"Reed, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,6,.167,0,3,0,0,23,1,0,0,OF,12,0,6,0,0,2
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750078,"Deluca, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,2,0,36,.139,5,0,1,1,11,5,0,0,C,2,2,1,0,0,6
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750705,"Mills, M",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,1,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750990,"Alexy, A",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1751005,"Moody, A",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,12,.000,1,0,1,0,13,0,0,0,C,0,0,0,0,0,6
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750277,"Martin, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,1,.000,0,0,0,0,3,0,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1751000,"Shenefield, H",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750996,"Torres, R",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,5,.000,2,0,0,1,4,0,0,0,C,0,0,2,0,0,1
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750994,"Gilliland, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,2,.000,0,0,0,0,7,0,0,0,P,0,0,0,0,0,2
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1751002,"Gleeson, C",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,1,.000,0,0,0,0,2,0,1,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750035,"Fuller, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750985,"Rios, W",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750983,"Rondón, B",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
