#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
12.0,May 183:08 PM,S Maryland,Charleston,5-8,"Lusk, L","Vazquez, R",final|,11,12,,0.0
12.0,May 181:04 PM,Hagerstown,York,5-17,"Coles, C","Rivera, E",final|,17,12,0.0,0.4448
12.0,May 213:35 PM,Lexington,Gastonia,7-8,"Scott, A","Haab, J",final|,13,12,0.0262,0.0004
12.0,May 156:36 PM,Gastonia,Long Island,5-2,"Underwood Jr., D","Flores, B",final|,12,12,0.0004,0.5244
12.0,May 156:37 PM,York,S Maryland,3-4,"McCabe, B","Robinson, C",final|,9,12,0.4448,
12.0,May 156:50 PM,High Point,Lexington,18-8,"Emanuel, K","Eastman, C",final|,12,12,0.9734,0.0262
12.0,Jun  14:31 PM,Hagerstown,High Point,0-6,"Emanuel, K","Picone, D",final|,18,13,0.0,0.9734
13.0,May 276:49 PM,York,Hagerstown,4-3,"Woolfolk, D","Picone, D",final|,10,12,0.4448,0.0
13.0,May 276:33 PM,Lancaster,Staten Island,3-9,"McSweeney, M","Lacey, S",final|,12,13,0.0188,0.012
13.0,May 306:35 PM,Gastonia,S Maryland,,,,"Postponed to:May 31, 06:00 PM",13,13,0.0004,
13.0,Jun  36:37 PM,Charleston,High Point,5-4,"Demurias, E","Branche, S",final|,10,14,0.0,0.9734
13.0,May 207:32 PM,High Point,Charleston,8-2,"Barraclough, K","Endersby, J",final|,13,13,0.9734,0.0
13.0,May 206:34 PM,S Maryland,York,6-7,"Robinson, C","Sherfy, J",final|,12,13,,0.4448
13.0,May 237:03 PM,High Point,Gastonia,9-3,"Solter, M","Grey, C",final|,14,13,0.9734,0.0004
13.0,May 236:47 PM,York,Lancaster,0-3,"Killgore, K","Scott, W",final|,11,12,0.4448,0.0188
13.0,May 237:04 PM,Charleston,Lexington,3-1,"Henriquez, J","Tully, T",final|,11,13,0.0,0.0262
13.0,May 236:38 PM,Staten Island,Long Island,9-1,"Allegretti, C","Hillman, J",final|,13,13,0.012,0.5244
14.0,May 246:33 PM,Staten Island,Long Island,4-3,"Baker, R","Williams, P",final|,14,14,0.012,0.5244
14.0,May 319:26 PM,Gastonia,S Maryland,7-3,"Sheffield, J","Campbell, M",final|,14,14,0.0004,
14.0,May 216:39 PM,S Maryland,York,5-4,"Kahaloa, I","Galdoni, L",final|,13,14,,0.4448
14.0,May 216:40 PM,High Point,Charleston,12-4,"Emanuel, K","Hill, J",final|,15,14,0.9734,0.0
14.0,May 286:30 PM,Lancaster,Staten Island,,,,"Postponed to:May 29, 12:30 PM",13,14,0.0188,0.012
14.0,May 2811:00 AM,York,Hagerstown,,,,"Postponed to:May 29, 04:00 PM",12,13,0.4448,0.0
14.0,Jun  46:37 PM,Charleston,High Point,2-3,"Solter, M","Henriquez, J",final|,12,15,0.0,0.9734
14.0,May 246:49 PM,York,Lancaster,1-8,"Bremer, N","Denz, D",final|,13,13,0.4448,0.0188
14.0,May 247:01 PM,High Point,Gastonia,6-2,"Uelmen, E","Smith, K",final|,16,14,0.9734,0.0004
14.0,May 247:03 PM,Charleston,Lexington,4-5,"Haab, J","Reyes, S",final|,13,14,0.0,0.0262
15.0,Jun  56:37 PM,Charleston,High Point,2-1,"Record, J","Ogle, B",final|,14,16,0.0,0.9734
15.0,Jun  12:04 PM,Gastonia,S Maryland,12-5,"Underwood Jr., D","Miller, J",final|,15,15,0.0004,
15.0,May 296:58 PM,York,Hagerstown,4-0,"Scott, W","Reitz, M",final|,14,14,0.4448,0.0
15.0,Jun  22:07 PM,S Maryland,York,3-5,"Llovera, M","Semple, S",final|,14,15,,0.4448
15.0,May 251:33 PM,Staten Island,Long Island,2-3,"Melville, T","Higgins, C",final|,15,15,0.012,0.5244
15.0,May 252:03 PM,York,Lancaster,4-2,"Palm, T","Scafidi, C",final|,15,14,0.4448,0.0188
15.0,May 252:08 PM,Charleston,Lexington,4-2,"Lebron, D","Laio, N",final|,15,15,0.0,0.0262
15.0,May 254:02 PM,High Point,Gastonia,13-12,"Lewis, J","Hennen, R",final|,17,15,0.9734,0.0004
15.0,May 226:43 PM,High Point,Charleston,2-7,"McGowin, K","Backman, B",final|,18,15,0.9734,0.0
15.0,May 2910:31 AM,Lancaster,Staten Island,3-2,"Engler, S","Dunaway, M",final|,14,15,0.0188,0.012
16.0,Jun  66:33 PM,Long Island,Hagerstown,11-8,"Dipoto, J","Goodson, D",final|,13,15,0.5244,0.0
16.0,Jun  36:49 PM,Hagerstown,Lancaster,12-4,"Kickham, M","Killgore, K",final|,19,15,0.0,0.0188
16.0,Jun 106:37 PM,Gastonia,S Maryland,8-10,"Hennessey, J","Hardy, H",final|,16,16,0.0004,
16.0,Jun  36:35 PM,S Maryland,Long Island,3-4,"Nelson, B","Thompson, C",final|,15,16,,0.5244
16.0,Jun  66:38 PM,S Maryland,High Point,1-3,"Barraclough, K","Vazquez, R",final|,16,17,,0.9734
16.0,May 276:42 PM,High Point,Charleston,5-0,"Emanuel, K","Hill, J",final|,19,16,0.9734,0.0
16.0,May 307:03 PM,Lancaster,Staten Island,13-8,"Johnson, K","Barringer, S",final|,15,16,0.0188,0.012
16.0,May 276:45 PM,Long Island,Lexington,16-7,"Sandberg, R","Wicklander, P",final|,14,16,0.5244,0.0262
16.0,May 306:41 PM,Long Island,York,13-4,"Case, B","Churchill, I",final|,15,16,0.5244,0.4448
16.0,May 276:31 PM,S Maryland,Gastonia,14-6,"Kahaloa, I","Underwood Jr., D",final|,17,16,,0.0004
17.0,May 2812:32 PM,S Maryland,Gastonia,12-8,"Willamson, N","Blanton, B",final|,18,17,,0.0004
17.0,May 316:34 PM,Lancaster,Staten Island,8-1,"Skirrow, N","Mahoney, J",final|,16,17,0.0188,0.012
17.0,Jun  46:48 PM,Hagerstown,Lancaster,13-0,"Reitz, M","Green, M",final|,20,16,0.0,0.0188
17.0,May 2810:40 AM,High Point,Charleston,1-7,"Reyes, S","Scolaro, J",final|,20,17,0.9734,0.0
17.0,Jun  46:36 PM,S Maryland,Long Island,4-7,"Hillman, J","Campbell, M",final|,19,17,,0.5244
17.0,Jun  76:40 PM,S Maryland,High Point,10-7,"Thompson, C","Doyle, T",final|,20,18,,0.9734
17.0,May 286:48 PM,Long Island,Lexington,6-1,"Plesac, Z","Eastman, C",final|,16,17,0.5244,0.0262
17.0,Jun  76:01 PM,Long Island,Hagerstown,3-0,"Asa, J","Picone, D",final|,17,16,0.5244,0.0
17.0,Jun 116:36 PM,Gastonia,S Maryland,10-3,"Wells, N","Martin, G",final|,17,17,0.0004,
17.0,May 316:41 PM,Long Island,York,1-6,"Palm, T","Senger, M",final|,18,17,0.5244,0.4448
18.0,Jun  84:06 PM,S Maryland,High Point,4-3,"Thurman, A","Casad, C",final|,21,19,,0.9734
18.0,Jun  82:06 PM,Long Island,Hagerstown,2-3,"Kickham, M","Alintoff, J",final|,19,17,0.5244,0.0
18.0,May 296:45 PM,Long Island,Lexington,6-9,"Tully, T","Alintoff, J",final|,20,18,0.5244,0.0262
18.0,May 297:01 PM,S Maryland,Gastonia,3-8,"Stem, C","Kelly, J",final|,22,18,,0.0004
18.0,Jun 126:40 PM,Gastonia,S Maryland,8-9,"Scrubb, A","Snyder, N",final|,18,18,0.0004,
18.0,Jun  11:34 PM,Lancaster,Staten Island,3-4,"Dunaway, M","Alexy, A",final|,17,18,0.0188,0.012
18.0,May 296:40 PM,High Point,Charleston,6-2,"Solter, M","Henriquez, J",final|,21,18,0.9734,0.0
18.0,Jun  56:35 PM,S Maryland,Long Island,9-2,"Martin, G","Griffin, D",final|,23,18,,0.5244
18.0,Jun  11:04 PM,Long Island,York,3-11,"Pace, F","Sandberg, R",final|,21,18,0.5244,0.4448
18.0,Jun  56:48 PM,Hagerstown,Lancaster,2-17,"Bremer, N","Saturria, M",final|,21,17,0.0,0.0188
19.0,Jun 136:34 PM,High Point,Long Island,3-1,"Emanuel, K","Beede, T",final|,22,19,0.9734,0.5244
19.0,Jun 114:02 PM,High Point,Staten Island,5-4,"Solter, M","Baker, R",final|,23,19,0.9734,0.012
19.0,Jun 185:02 PM,Staten Island,High Point,2-6,"Solter, M","Allegretti, C",final|,16,20,0.012,0.9734
19.0,Jun 106:35 PM,York,Hagerstown,10-1,"Denz, D","Reitz, M",final|,16,18,0.4448,0.0
19.0,May 308:26 PM,Lexington,Charleston,6-7,"Del Prado, N","Lynch, J",final|,14,19,0.0262,0.0
19.0,Jun  67:05 PM,York,Lexington,4-2,"Pace, F","Lynch, J",final|,17,19,0.4448,0.0262
19.0,Jun 136:45 PM,Lexington,S Maryland,0-4,"Semple, S","Ferrer, B",final|,15,19,0.0262,
19.0,Jun  36:31 PM,Lexington,Gastonia,1-2,"Horvath, N","Laio, N",final|,16,19,0.0262,0.0004
19.0,Jun  66:50 PM,Staten Island,Lancaster,7-18,"Skirrow, N","Kubo, T",final|,17,18,0.012,0.0188
19.0,Jun  36:32 PM,Staten Island,York,10-3,"McSweeney, M","Scott, W",final|,18,19,0.012,0.4448
20.0,Jun 117:10 PM,High Point,Staten Island,5-1,"Blair, D","Allegretti, C",final|,24,20,0.9734,0.012
20.0,Jun 146:38 PM,Lexington,S Maryland,2-7,"Hennessey, J","Castillo, W",final|,17,20,0.0262,
20.0,Jun 116:33 PM,York,Hagerstown,9-2,"Horrell, M","Minaya, J",final|,18,19,0.4448,0.0
20.0,Jun 146:36 PM,High Point,Long Island,7-1,"Casad, C","Case, B",final|,25,20,0.9734,0.5244
20.0,Jun  412:33 PM,Lexington,Gastonia,11-2,"Wicklander, P","Myatt, T",final|,18,20,0.0262,0.0004
20.0,Jun  46:37 PM,Staten Island,York,7-13,"Dula, H","Williamson, R",final|,19,20,0.012,0.4448
20.0,Jun 187:48 PM,Staten Island,High Point,4-10,"Doyle, T","Mejia, A",final|,20,21,0.012,0.9734
20.0,May 316:39 PM,Lexington,Charleston,4-11,"Lebron, D","Castillo, W",final|,19,20,0.0262,0.0
20.0,Jun  77:00 PM,York,Lexington,9-8,"Dula, H","Acosta, J",final|,19,20,0.4448,0.0262
20.0,Jun  76:52 PM,Staten Island,Lancaster,8-11,"Rees, J","Barringer, S",final|,21,19,0.012,0.0188
21.0,Jun 152:05 PM,Lexington,S Maryland,4-7,"Miller, J","Acosta, J",final|,20,21,0.0262,
21.0,Jun  56:31 PM,Lexington,Gastonia,6-5,"Eastman, C","Wells, N",final|,21,21,0.0262,0.0004
21.0,Jun 196:56 PM,Staten Island,High Point,11-6,"Barringer, S","Emanuel, K",final|,22,22,0.012,0.9734
21.0,Jun  83:24 PM,Staten Island,Lancaster,5-9,"Lacey, S","Guzman, L",final|,23,20,0.012,0.0188
21.0,Jun  82:03 PM,York,Lexington,7-8,"Loper, J","Churchill, I",final|,20,21,0.4448,0.0262
21.0,Jun 126:34 PM,York,Hagerstown,6-0,"Vallimont, C","Richardson, D",final|,21,20,0.4448,0.0
21.0,Jun 126:35 PM,High Point,Staten Island,6-5,"Branche, S","Baker, R",final|,26,21,0.9734,0.012
21.0,Jun  13:08 PM,Lexington,Charleston,2-3,"Record, J","Haab, J",final|,22,21,0.0262,0.0
21.0,Jun  55:02 PM,Staten Island,York,12-5,"Allegretti, C","Palm, T",final|,24,21,0.012,0.4448
21.0,Jun 151:37 PM,High Point,Long Island,10-6,"Frontera, D","Hillman, J",final|,27,21,0.9734,0.5244
22.0,Jun 206:48 PM,Long Island,Lancaster,2-8,"Killgore, K","Sandberg, R",final|,22,21,0.5244,0.0188
22.0,Jun 206:37 PM,Charleston,Hagerstown,6-2,"Lebron, D","Kickham, M",final|,16,21,0.0,0.0
